region,province,area_hectares
CAR,Abra,6786
CAR,Apayao,0
CAR,Benguet,17579
CAR,Ifugao,14911
CAR,Kalinga,73
CAR,Mountain Province,1246
Region 1,Ilocos Norte,20514
Region 1,Ilocos Sur,7760
Region 1,La Union,2989
Region 1,Pangasinan,3447
Region 2,Batanes,0
Region 2,Cagayan,15068
Region 2,Isabela,6
Region 2,Nueva Vizcaya,15701
Region 2,Quirino,2846
Region 3,Aurora,0
Region 3,Bataan,327
Region 3,Bulacan,6003
Region 3,Nueva Ecija,38538
Region 3,Pampanga,0
Region 3,Tarlac,5477
Region 3,Zambales,8326
NCR,Metro Manila,0
Region 4A,Batangas,0
Region 4A,Cavite,0
Region 4A,Laguna,0
Region 4A,Quezon,0
Region 4A,Rizal,0
MIMAROPA,Marinduque,29
MIMAROPA,Occidental Mindoro ,2614
MIMAROPA,Oriental Mindoro ,35828
MIMAROPA,Palawan,9529
MIMAROPA,Romblon,0
Region 5,Albay,0
Region 5,Camarines Norte,580
Region 5,Camarines Sur,1495
Region 5,Catanduanes,0
Region 5,Masbate,0
Region 5,Sorsogon,0
Region 6,Aklan,2725
Region 6,Antique,23913
Region 6,Capiz,759
Region 6,Guimaras,0
Region 6,Iloilo,21195
Region 6,Negros Occidental,763
Region 7,Bohol,91
Region 7,Cebu,5656
Region 7,Negros Oriental,12095
Region 7,Siquijor,0
Region 8,Biliran,23317
Region 8,Eastern Samar,2479
Region 8,Leyte,0
Region 8,Northern Samar,511
Region 8,Southern Leyte,933
Region 8,Samar,6730
Region 9,Zamboanga del Norte,2391
Region 9,Zamboanga del Sur,509
Region 9,Zamboanga Sibugay,525
Region 10,Bukidnon,1340
Region 10,Camiguin,0
Region 10,Lanao del Norte,22
Region 10,Misamis Occidental,0
Region 10,Misamis Oriental,168
Region 11,Compostela Valley,0
Region 11,Davao del Norte,136
Region 11,Davao del Sur,400
Region 11,Davao Oriental,0
Region 12,Cotabato,2288
Region 12,Sarangani,97
Region 12,South Cotabato,46
Region 12,Sultan Kudarat,124
Region 13,Agusan del Norte,0
Region 13,Agusan del Sur,0
Region 13,Surigao del Norte,0
Region 13,Surigao del Sur,0
ARMM,Basilan,0
ARMM,Lanao del Sur,0
ARMM,Maguindanao,1148
ARMM,Sulu,0
ARMM,Tawi-Tawi,0
