year,region,species,diameter,php_per_cubic_meter
2013,National,Falcata,60 cm and above,1600
2013,National,Gmelina,60 cm and above,6654.33
2013,National,Ipil-Ipil,60 cm and above,2500
2013,National,Mahogany,60 cm and above,10113.56
2013,V (Bicol Region),Falcata,60 cm and above,-
2013,V (Bicol Region),Gmelina,60 cm and above,10600
2013,V (Bicol Region),Ipil-Ipil,60 cm and above,-
2013,V (Bicol Region),Mahogany,60 cm and above,14840
2013,VII (Central Visayas),Falcata,60 cm and above,-
2013,VII (Central Visayas),Gmelina,60 cm and above,11271.33
2013,VII (Central Visayas),Ipil-Ipil,60 cm and above,-
2013,VII (Central Visayas),Mahogany,60 cm and above,11200.67
2013,VIII (Eastern Visayas),Falcata,60 cm and above,-
2013,VIII (Eastern Visayas),Gmelina,60 cm and above,-
2013,VIII (Eastern Visayas),Ipil-Ipil,60 cm and above,-
2013,VIII (Eastern Visayas),Mahogany,60 cm and above,4300
2013,XI (Davao Region),Falcata,60 cm and above,1600
2013,XI (Davao Region),Gmelina,60 cm and above,1800
2013,XI (Davao Region),Ipil-Ipil,60 cm and above,-
2013,XI (Davao Region),Mahogany,60 cm and above,-
2013,XII (SOCCSKSARGEN),Falcata,60 cm and above,-
2013,XII (SOCCSKSARGEN),Gmelina,60 cm and above,2946
2013,XII (SOCCSKSARGEN),Ipil-Ipil,60 cm and above,2500
2013,XII (SOCCSKSARGEN),Mahogany,60 cm and above,-
2012,National,Acacia,60 cm and above,9229
2012,National,Almon,60 cm and above,4900
2012,National,Apitong,60 cm and above,3000
2012,National,Bagras,60 cm and above,3000
2012,National,Bagtikan,60 cm and above,3800
2012,National,Binuang,60 cm and above,3000
2012,National,Falcata,60 cm and above,2336
2012,National,Gmelina,60 cm and above,7632
2012,National,Lauan,60 cm and above,4300
2012,National,Loktob,60 cm and above,3000
2012,National,Mahogany,60 cm and above,2500
2012,National,Marang,60 cm and above,3000
2012,National,Tangile,60 cm and above,3800
2012,III (Central Luzon),Acacia,60 cm and above,-
2012,III (Central Luzon),Almon,60 cm and above,6000
2012,III (Central Luzon),Apitong,60 cm and above,-
2012,III (Central Luzon),Bagras,60 cm and above,-
2012,III (Central Luzon),Bagtikan,60 cm and above,-
2012,III (Central Luzon),Binuang,60 cm and above,-
2012,III (Central Luzon),Falcata,60 cm and above,-
2012,III (Central Luzon),Gmelina,60 cm and above,-
2012,III (Central Luzon),Lauan,60 cm and above,-
2012,III (Central Luzon),Loktob,60 cm and above,-
2012,III (Central Luzon),Mahogany,60 cm and above,2000
2012,III (Central Luzon),Marang,60 cm and above,-
2012,III (Central Luzon),Tangile,60 cm and above,-
2012,V (Bicol Region),Acacia,60 cm and above,9229
2012,V (Bicol Region),Almon,60 cm and above,-
2012,V (Bicol Region),Apitong,60 cm and above,-
2012,V (Bicol Region),Bagras,60 cm and above,-
2012,V (Bicol Region),Bagtikan,60 cm and above,-
2012,V (Bicol Region),Binuang,60 cm and above,-
2012,V (Bicol Region),Falcata,60 cm and above,-
2012,V (Bicol Region),Gmelina,60 cm and above,7632
2012,V (Bicol Region),Lauan,60 cm and above,-
2012,V (Bicol Region),Loktob,60 cm and above,-
2012,V (Bicol Region),Mahogany,60 cm and above,-
2012,V (Bicol Region),Marang,60 cm and above,-
2012,V (Bicol Region),Tangile,60 cm and above,-
2012,XI (Davao Region),Acacia,60 cm and above,-
2012,XI (Davao Region),Almon,60 cm and above,3800
2012,XI (Davao Region),Apitong,60 cm and above,3000
2012,XI (Davao Region),Bagras,60 cm and above,3000
2012,XI (Davao Region),Bagtikan,60 cm and above,3800
2012,XI (Davao Region),Binuang,60 cm and above,3000
2012,XI (Davao Region),Falcata,60 cm and above,2672
2012,XI (Davao Region),Gmelina,60 cm and above,-
2012,XI (Davao Region),Lauan,60 cm and above,4300
2012,XI (Davao Region),Loktob,60 cm and above,3000
2012,XI (Davao Region),Mahogany,60 cm and above,3000
2012,XI (Davao Region),Marang,60 cm and above,3000
2012,XI (Davao Region),Tangile,60 cm and above,3800
2012,XIII (Caraga),Acacia,60 cm and above,-
2012,XIII (Caraga),Almon,60 cm and above,-
2012,XIII (Caraga),Apitong,60 cm and above,-
2012,XIII (Caraga),Bagras,60 cm and above,-
2012,XIII (Caraga),Bagtikan,60 cm and above,-
2012,XIII (Caraga),Binuang,60 cm and above,-
2012,XIII (Caraga),Falcata,60 cm and above,2000
2012,XIII (Caraga),Gmelina,60 cm and above,-
2012,XIII (Caraga),Lauan,60 cm and above,-
2012,XIII (Caraga),Loktob,60 cm and above,-
2012,XIII (Caraga),Mahogany,60 cm and above,-
2012,XIII (Caraga),Marang,60 cm and above,-
2012,XIII (Caraga),Tangile,60 cm and above,-
2011,National,Acacia,60 cm and above,5316
2011,National,Almon,60 cm and above,3800
2011,National,Apitong,60 cm and above,3650
