subcontinent_residence,year,count
ASEAN,1996,"139,324"
East Asia,1996,"896,096"
South Asia,1996,"24,646"
Middle East,1996,"21,543"
North America,1996,"430,805"
Central America,1996,955
South America,1996,"3,068"
Western Europe,1996,"127,628"
Northern Europe,1996,"112,925"
Southern Europe,1996,"25,210"
Eastern Europe,1996,"4,213"
Eastern Mediterranean Europe *,1996,-
Oceania,1996,"98,473"
Africa,1996,"2,891"
Others and Unspecified Residences,1996,"18,837"
Overseas Filipinos **,1996,"142,753"
ASEAN,1997,"155,226"
East Asia,1997,"971,870"
South Asia,1997,"26,189"
Middle East,1997,"18,334"
North America,1997,"491,523"
Central America,1997,"1,238"
South America,1997,"3,452"
Western Europe,1997,"133,198"
Northern Europe,1997,"126,094"
Southern Europe,1997,"27,959"
Eastern Europe,1997,"4,368"
Eastern Mediterranean Europe *,1997,-
Oceania,1997,"105,391"
Africa,1997,"2,913"
Others and Unspecified Residences,1997,"20,227"
Overseas Filipinos **,1997,"134,541"
ASEAN,1998,"137,030"
East Asia,1998,"816,449"
South Asia,1998,"29,883"
Middle East,1998,"19,810"
North America,1998,"535,564"
Central America,1998,"1,430"
South America,1998,"3,602"
Western Europe,1998,"140,420"
Northern Europe,1998,"134,771"
Southern Europe,1998,"27,089"
Eastern Europe,1998,"4,778"
Eastern Mediterranean Europe *,1998,-
Oceania,1998,"97,438"
Africa,1998,"3,142"
Others and Unspecified Residences,1998,"23,674"
Overseas Filipinos **,1998,"174,277"
ASEAN,1999,"141,329"
East Asia,1999,"845,763"
South Asia,1999,"25,920"
Middle East,1999,"19,110"
North America,1999,"530,120"
Central America,1999,1534
South America,1999,"4,360"
Western Europe,1999,"136,102"
Northern Europe,1999,"125,114"
Southern Europe,1999,"26,171"
Eastern Europe,1999,"3,093"
Eastern Mediterranean Europe *,1999,-
Oceania,1999,"89,770"
Africa,1999,"1,824"
Others and Unspecified Residences,1999,"22,548"
Overseas Filipinos **,1999,"199,290"
ASEAN,2000,"132,742"
East Asia,2000,"802,787"
South Asia,2000,"24,092"
Middle East,2000,"17,519"
North America,2000,"507,222"
Central America,2000,"1,048"
South America,2000,"3,640"
Western Europe,2000,"115,688"
Northern Europe,2000,"107,302"
Southern Europe,2000,"23,400"
Eastern Europe,2000,"2,997"
Eastern Mediterranean Europe *,2000,-
