region,month,production
NCR,January,"1,533"
NCR,February,"2,130"
NCR,March,"2,264"
NCR,April,"2,280"
NCR,May,"2,031"
NCR,June,"1,737"
NCR,July,"1,901"
NCR,August,"1,366"
NCR,September,"1,869"
NCR,October,"1,705"
NCR,November,"1,632"
NCR,December,"1,437"
IV-A,January,401
IV-A,February,6
IV-A,March,117
IV-A,April,267
IV-A,May,283
IV-A,June,203
IV-A,July,238
IV-A,August,249
IV-A,September,253
IV-A,October,275
IV-A,November,232
IV-A,December,235
IX,January,"2,518"
IX,February,"2,416"
IX,March,"2,617"
IX,April,"3,811"
IX,May,"3,412"
IX,June,"3,414"
IX,July,"3,483"
IX,August,"3,569"
IX,September,"2,368"
IX,October,0
IX,November,0
IX,December,0
X,January,"5,130"
X,February,"7,796"
X,March,"6,821"
X,April,"3,709"
X,May,"3,709"
X,June,"3,709"
X,July,"5,999"
X,August,"5,619"
X,September,"4,299"
X,October,"8,526"
X,November,"6,024"
X,December,"2,865"
XI,January,"1,014"
XI,February,"2,521"
XI,March,615
XI,April,"1,225"
XI,May,"2,091"
XI,June,"2,312"
XI,July,"1,590"
XI,August,"1,760"
XI,September,"1,249"
XI,October,0
XI,November,0
XI,December,0
XIII,January,"9,511"
XIII,February,"18,842"
XIII,March,"14,746"
XIII,April,"12,628"
XIII,May,"11,929"
XIII,June,"19,225"
XIII,July,"13,065"
XIII,August,"13,207"
XIII,September,"13,827"
XIII,October,"17,761"
XIII,November,"12,364"
XIII,December,"9,542"
