PSHS_CAMPUS,NUMBER_OF_ SCHOLARS_SUPPORTED_SY_ 2018-2019
MAIN CAMPUS,"1,422"
ILOCOS REGION CAMPUS,526
CAGAYAN VALLEY CAMPUS,532
CORDILLERA ADMINISTRATIVE REGION CAMPUS,529
CENTRAL LUZON CAMPUS,526
CALABARZON REGION CAMPUS,392
MIMAROPA REGION CAMPUS,105
BICOL REGION CAMPUS,532
WESTERN VISAYAS CAMPUS,537
CENTRAL VISAYAS CAMPUS,528
EASTERN VISAYAS CAMPUS,529
ZAMBOANGA PENINSULA REGION CAMPUS,206
CENTRAL MINDANAO CAMPUS,530
SOUTHERN MINDANAO CAMPUS,533
SOCCSKSARGEN REGION CAMPUS,501
CARAGA REGION CAMPUS,430
